,키,몸무게,연간 음주 빈도,한번 섭취시 음주량,일반담배 하루 흡연량,격렬한 신체활동 일수,중증도 신체활동 일수,걷기 실천 일수,주간 아침식사 일수,체형(5단계)
511,160.0,56.0,3,3,0,2,3,7,0,4
512,168.0,72.0,4,1,0,0,0,7,0,4
513,162.0,56.0,5,3,0,1,2,7,0,4
514,155.0,56.0,1,0,0,0,0,3,3,4
515,174.0,63.0,2,1,0,0,0,3,2,3
516,162.0,59.0,0,0,0,0,0,7,3,3
517,170.0,57.0,3,1,0,3,0,5,0,3
518,177.0,70.0,1,0,10,2,2,7,0,2
519,176.0,80.0,4,4,0,3,3,7,0,3
520,162.0,46.0,5,2,0,5,5,7,0,2
522,155.0,48.0,1,0,0,3,3,7,3,3
523,163.0,57.0,3,2,0,0,0,3,0,3
525,158.0,50.0,3,1,5,0,0,7,0,3
526,181.0,100.0,3,2,10,0,0,3,0,5
527,160.0,59.0,1,0,0,0,0,7,3,3
528,155.0,48.0,0,0,0,0,0,7,3,2
529,173.0,78.0,1,0,0,0,3,4,3,3
530,163.0,68.0,0,0,0,0,0,5,3,4
531,157.0,49.0,3,1,0,0,0,3,2,3
532,170.0,64.0,2,1,0,0,0,5,3,3
533,156.0,50.0,0,0,0,0,0,0,3,3
534,171.0,74.0,0,0,0,5,0,5,3,3
535,153.0,67.0,0,0,0,0,0,3,3,3
536,167.0,67.0,2,1,0,0,0,7,3,3
537,150.0,46.0,0,0,0,0,0,7,3,3
538,163.0,49.0,3,4,0,0,0,7,0,2
539,160.0,57.0,0,0,0,0,0,3,3,3
540,152.0,60.0,1,0,0,0,0,4,3,4
541,163.0,68.0,0,0,0,0,0,4,3,4
543,168.0,54.0,5,4,0,0,0,7,2,2
544,175.0,85.0,0,0,0,0,0,7,3,4
545,160.0,57.0,0,0,0,0,0,5,3,3
546,160.0,50.0,0,0,0,0,0,5,3,2
547,159.0,42.0,3,1,0,0,0,6,1,1
548,160.0,65.0,5,1,0,7,0,7,3,3
549,150.0,67.0,0,0,0,0,0,0,3,4
551,156.0,68.0,0,0,0,0,0,0,3,5
553,162.0,73.0,4,3,0,7,2,7,0,4
554,160.0,65.0,2,1,0,3,2,7,3,4
556,158.0,67.0,4,3,0,2,2,4,1,5
557,150.0,60.0,3,2,0,2,2,7,3,4
558,168.0,70.0,4,4,0,3,0,7,0,4
559,157.0,49.0,4,1,0,2,2,7,0,3
